,place,text,lang,location,geo,coord
0,,asthma and smoking cigarettes https://t.co/gcZgehErB9,en,,False,
1,,Rhinovirus Bronchiolitis: A Sign of Asthma Yet to Come? https://t.co/19VKsdXNN0 vía @medscape,ro,Cumaná,True,
2,,i'm literally gonna have an asthma attack if i stay at this school,en,,False,
3,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,The Davies Residence,False,
4,,Similar to the reduced occurrence of allergies in helminthiasis infected children. Worm protection?! Now dust! Hmm! https://t.co/5TRXSZE1zE,en,,False,
5,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,North London,False,
6,,RT @_StevenMccallum: Sisters got asthma and we got her they candles that dinny blow oot for her bday cake and aboot killed the cunt trying…,en,,False,
7,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,,False,
8,,RT @NewScienceWrld: The first asthma pill in 20 years shows 'massive promise' in reducing symptoms https://t.co/rsegehxajA https://t.co/BvP…,en,France,False,
9,,"Allergies, Asthma Tied to Lower Risk of Brain Cancer Researchers found 30 percent lower odds for those with https://t.co/01uJhJ6oWr Pls RT",en,"Chicago, IL, USA",False,
10,,*throws phone* https://t.co/8EWbN4pMm4,en,Holiday Heart's Wig Closet,True,
11,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,FL,False,
12,,Dog days of summer are upon us. Keep #summer #asthma symptoms under control with these tips: https://t.co/06DBfI5z8J,en,"Louisville, KY",False,
13,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,somewhere,True,
14,,Asthma deaths in Scotland highest for more than a decade  https://t.co/KqW6eSQqal #pressrelease,en,United Kingdom,False,
15,,"RT @sadgirlkms: girl: heavy breathing is so hot😍😍😍

boy: i have asthma",en,,False,
16,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,,False,
17,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,the hills. ,True,
18,,RT @Pharmacy_Today: New drug could help decrease symptoms of #asthma https://t.co/b8MI0YFCxd #pharmacists https://t.co/OvqDKpWb0u,en,"St. Paul, MN",False,
19,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,Scotland ,True,
20,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,New York City,True,
21,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"Wisconsin, USA",True,
22,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,Robin Hood ,False,
23,,Drug hailed as a ‘game changer’ in treatment of asthma - https://t.co/Tj82FOxXn3 Sounds promising  https://t.co/4YNmfmlVYr,en,"Reno, NV",True,
24,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,the 248,True,
25,,Like I literally had to use my asthma pump walking home from work today because I couldn't breathe,en,"New York, NY",False,
26,,RT @asthmauk: #Dating is hard enough without adding #asthma into the mix! Check out our advice: https://t.co/GV3Hc6ZO4m https://t.co/g3QRRb…,en,Central London UK,True,
27,,.@HCSC partnering w/@LungAssociation and 90+ #HealthCenters 2 enhance care 4 those with #asthma in our #communities. https://t.co/TH4CmETdRw,en,"Chicago, IL",False,
28,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,South London,True,
29,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,fuck off hotel ,True,
30,"{'country': 'United States', 'url': 'https://api.twitter.com/1.1/geo/id/71ce5137b842ec75.json', 'name': 'St Peters', 'country_code': 'US', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-90.67755, 38.700023], [-90.67755, 38.815652], [-90.523651, 38.815652], [-90.523651, 38.700023]]]}, 'id': '71ce5137b842ec75', 'place_type': 'city', 'attributes': {}, 'full_name': 'St Peters, MO'}",@JunkScience I know plenty of ppl with asthma who smoke so,en,The Lou,True,
31,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,ridin' thru TX ,True,
32,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,please kill me,True,
33,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,False,
34,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,MICHIGAN,False,
35,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,east coast,False,
36,,Do you have an #asthma action plan for your child? Check out what we have created here to get started: https://t.co/r4pPpLP3TX,en,Canada,False,
37,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"EASTWOOD, Tx",False,
38,"{'country': 'United Kingdom', 'url': 'https://api.twitter.com/1.1/geo/id/7c484a3b9f06b433.json', 'name': 'Stoneyburn', 'country_code': 'GB', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.65957, 55.837322], [-3.65957, 55.850197], [-3.621514, 55.850197], [-3.621514, 55.837322]]]}, 'id': '7c484a3b9f06b433', 'place_type': 'city', 'attributes': {}, 'full_name': 'Stoneyburn, Scotland'}",Oh ya fucker 😂😂😂😂 https://t.co/v64xvNz1PP,en,West Lothian Scotland,True,
39,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"Raleigh, NC",True,
40,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,"Northampton, England",False,
41,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,pizzadelphia,True,
42,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,True,
43,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,Earth,False,
44,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en, brooklyn-boston,True,
45,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,California,True,
46,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,True,
47,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,brick city,False,
48,,"#asthma Air pollution kills 24 more Charlotteans a year than it should, medical socie... https://t.co/7BaasoK4ji https://t.co/y4mIG8AJvb",en,,False,
49,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"Oakland, NZ",True,
50,,Asthma Device Comparisons Of Religions - Asthma https://t.co/39UP9b1N2r,fr,,False,
51,,Primatene 60 Count Asthma Tablets Free Shipping Exp 12/18 * Compare to Bronkaid https://t.co/C0cjAwf2O6 https://t.co/pzAXwHXg53,en,,False,
52,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,she/they,False,
53,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"Weslaco, TX",True,
54,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,True,
55,,RT @_StevenMccallum: Sisters got asthma and we got her they candles that dinny blow oot for her bday cake and aboot killed the cunt trying…,en,"Polbeth, Scotland",True,
56,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,,True,
57,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,pitt/dc/jersey/up zayn's ass,True,
58,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,True,
59,,RT @relly0492: One buff girl in the gym had me doing over 40mins on the treadmill like say my asthma cant tek weh mi life any time,en,,True,
60,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,,False,
61,"{'country': 'United Kingdom', 'url': 'https://api.twitter.com/1.1/geo/id/7b6079b2345fa6a1.json', 'name': 'Newton Abbot', 'country_code': 'GB', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.64185, 50.514433], [-3.64185, 50.541764], [-3.574513, 50.541764], [-3.574513, 50.514433]]]}, 'id': '7b6079b2345fa6a1', 'place_type': 'city', 'attributes': {}, 'full_name': 'Newton Abbot, England'}",Note to self. Read through this later https://t.co/JQ1cHCnUgQ,en,Devon/Yorkshire/London,True,
62,,RT @DearMomma_: Sooo my brother funeral was today. Tell me why my extra ass aunt had an asthma attack and died at the fucking funeral.,en,"Denver, CO",True,
